departure_city,arrival_city,departure_date,flight_duration,delay_minutes,Customer ID,Name,booking_class,frequent_flyer_status,route,ticket_price,Competitor Price,demand,Origin,Destination,profitability,loyalty_points,churn
Wilsonstad,Lake Johnmouth,5/2/2023 20:11,1.275810451,120,3769,Daniel Oliver,Business,Gold,MEL-BNE,370.6381277,382.9473956,-0.932754599,MEL,LHR,0.632225871,4245,1
New Brent,Port Wanda,4/21/2023 0:10,1.275810451,35,3529,Deborah Hall,Economy,Platinum,BNE-SYD,114.5290163,394.5836405,-1.005569166,MEL,SIN,1.265025532,833,1
South Samanthaberg,Lake Meganside,5/12/2023 15:16,0.721110255,67,1303,Mary York,Economy,Platinum,MEL-BNE,164.468018,479.8324439,1.761384368,MEL,LAX,1.141651137,2568,1
Lake Gracefurt,Jamesberg,6/13/2023 20:53,-0.942990334,72,2965,Christina Sanchez,Economy,Gold,BNE-SYD,318.9031671,286.3016323,-0.520138721,MEL,LAX,1.12929137,284,1
Owenborough,Kelleymouth,5/15/2023 23:06,-0.388290137,101,8779,Dustin Owens,Economy,Silver,BNE-SYD,389.9710513,407.4633155,-0.665767855,BNE,SIN,1.218239291,2805,1
Lake Randyland,Jacquelineland,6/1/2023 7:58,-1.49769053,89,4269,Nicole Morales,First,Platinum,SYD-MEL,217.4027219,243.4767575,0.208006945,SYD,LHR,1.388120509,45,0
Lake Davidshire,Lake Shawn,5/3/2023 19:21,-0.388290137,37,9375,Monica Montgomery,First,Platinum,SYD-MEL,457.5739219,192.6673838,0.69343739,MEL,LHR,1.210519948,3981,0
South Deborah,New Kathrynburgh,5/11/2023 4:28,0.166410059,117,5855,Jason Whitaker,First,Silver,MEL-BNE,195.4706786,355.5125428,-1.660900266,SYD,SIN,0.879640621,371,1
Gregville,East John,6/4/2023 5:55,0.721110255,28,6021,Michael Wade,First,Platinum,MEL-BNE,334.9395557,154.0700345,-0.447324155,SYD,LAX,1.483476063,1689,0
Josephtown,Port Kennethfurt,6/8/2023 3:03,1.275810451,47,3065,David Cline,Business,Gold,SYD-MEL,145.367999,109.2466928,0.353636079,BNE,SIN,0.924060362,112,1
Wandaborough,West Michael,4/30/2023 11:39,-0.388290137,31,2751,Susan Washington,Economy,Platinum,BNE-SYD,237.6549829,363.3074248,1.979828068,BNE,LAX,0.622074949,120,1
Cobbshire,Port Johnport,6/2/2023 4:13,0.166410059,21,4984,Ann Garcia,Economy,Gold,BNE-SYD,321.0968895,367.8851702,0.232278468,SYD,LHR,1.108141227,227,0
West Richardmouth,Greenton,6/7/2023 18:37,1.275810451,44,9861,Kristopher Drake,First,Platinum,SYD-MEL,117.4301657,250.7075798,-0.325966543,MEL,LHR,1.032098389,234,0
North Debbie,Mollyville,5/26/2023 17:58,-0.388290137,48,4572,Amy Decker,Business,Gold,SYD-MEL,428.8594455,455.5267159,-0.277423499,BNE,SIN,1.057458753,767,0
Port Angela,Grahamburgh,6/2/2023 14:55,-1.49769053,44,9029,William Chambers,First,Gold,BNE-SYD,468.8741841,374.6251864,0.086649334,BNE,LHR,0.538505676,2176,1
Lake Stephaniefurt,South Mariaview,5/15/2023 20:45,0.166410059,67,2165,Tommy Odonnell,Business,Gold,MEL-BNE,123.9676777,151.6488043,0.572079779,MEL,LHR,0.689366204,1893,1
Brittanyview,Elizabethview,5/18/2023 23:48,-0.388290137,115,8906,Martin Lamb,First,Gold,BNE-SYD,317.5953851,291.3898249,-1.005569166,MEL,LHR,0.755879577,3142,1
New Michelle,Wallacehaven,6/10/2023 20:26,0.721110255,25,1183,Matthew Thompson,Economy,Silver,MEL-BNE,142.3406537,204.6067329,-1.660900266,SYD,SIN,1.232645571,1065,1
Marymouth,Port Patriciaton,4/22/2023 3:01,0.166410059,84,5183,Matthew Alexander,First,Silver,MEL-BNE,190.7997933,448.7584981,-0.034708277,MEL,SIN,1.049555873,3651,0
East Francesborough,Port Kristi,6/3/2023 3:37,1.275810451,90,4860,Jennifer Middleton,Economy,Platinum,SYD-MEL,470.7699583,319.4613073,-1.466728088,BNE,LHR,0.604759437,2845,1
Hernandezmouth,North Shirleyview,6/5/2023 19:59,-0.388290137,77,1289,James Larson,Economy,Platinum,SYD-MEL,395.4449388,211.8705382,-0.253151977,SYD,LAX,1.48114341,4690,0
East David,South Nicholasville,5/29/2023 23:41,-0.388290137,47,5507,Kathryn Tucker,First,Silver,SYD-MEL,239.2810392,461.568665,0.013834768,SYD,SIN,1.331387064,4880,1
Port Matthewshire,Weaverberg,5/10/2023 10:06,-1.49769053,42,5018,Mrs. Lisa Horton DDS,Economy,Gold,BNE-SYD,150.2333797,475.4012694,-0.010436755,BNE,SIN,1.01362224,854,1
Simpsonstad,New Cathy,5/11/2023 22:47,-1.49769053,94,6151,Tracey Mayer,Business,Gold,BNE-SYD,260.7306589,359.6305385,0.25654999,BNE,LAX,0.997038184,1059,1
Sandramouth,Rogersfort,5/15/2023 4:40,-1.49769053,70,3345,Patricia Avery,Economy,Gold,BNE-SYD,303.7866907,273.5577628,-0.884211555,SYD,SIN,1.024658778,1506,1
New Barbara,Lake Matthew,4/27/2023 4:42,-0.388290137,33,7256,Anna Morgan,Business,Silver,SYD-MEL,404.2683584,160.210524,-0.859940032,BNE,SIN,1.145293929,302,0
New Josephmouth,South Denisestad,4/29/2023 9:20,-0.942990334,6,4124,Dr. Earl Phillips,Economy,Silver,MEL-BNE,293.2187875,136.4635392,-0.520138721,SYD,LHR,1.151145246,2847,1
Port Edgar,Aliciaview,5/5/2023 15:27,-0.388290137,5,5777,Theodore Chang PhD,First,Gold,BNE-SYD,290.9244628,391.0209645,-1.248284388,MEL,SIN,1.056344744,2182,0
Gregorystad,Hamiltonburgh,6/1/2023 3:51,-1.49769053,65,3036,Penny Sanchez,First,Silver,MEL-BNE,259.5550111,230.1093898,-1.321098955,MEL,SIN,1.278903857,2056,1
